Date & Time,First posts,Inactivity,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2009-01-12 15:00:00,0.0,2.0,0.0,2.0,0.060416666666666674,0.37083333333333335,10.0
2009-01-19 10:00:00,0.0,162.0,0.0,5.0,0.11000000000000001,0.19,7.2
2009-01-22 10:00:00,0.0,71.0,0.0,3.0,0.18333333333333335,0.3666666666666667,12.333333333333334
2009-01-22 19:00:00,0.0,8.0,0.0,1.0,0.0,0.0,26.0
2009-02-04 09:00:00,0.0,301.0,0.0,4.0,0.22,0.25,6.5
2009-02-04 11:00:00,0.0,1.0,0.0,1.0,0.0,0.0,6.0
2009-02-12 20:00:00,0.0,200.0,0.0,4.0,-0.1,0.25,10.0
2009-02-20 09:00:00,0.0,180.0,0.0,1.0,0.275,0.8,13.0
2009-02-20 14:00:00,0.0,4.0,0.0,5.0,0.07,0.31,17.4
2009-03-04 15:00:00,0.0,288.0,0.0,1.0,0.55,0.9,11.0
2009-03-04 16:00:00,0.0,0.0,0.0,2.0,0.35,0.5,3.0
2009-03-11 14:00:00,0.0,165.0,0.0,6.0,-0.008333333333333323,0.31666666666666665,7.5
2009-03-26 09:00:00,0.0,354.0,0.0,5.0,-0.01,0.06000000000000001,12.6
2009-03-31 15:00:00,0.0,125.0,0.0,5.0,-0.08,0.12800000000000003,16.4
2009-04-14 18:00:00,0.0,338.0,0.0,1.0,0.9,1.0,5.0
2009-04-15 09:00:00,0.0,14.0,0.0,3.0,0.26666666666666666,0.43333333333333335,12.666666666666666
2009-06-16 13:00:00,0.0,1491.0,0.0,1.0,0.7,1.0,8.0
2009-06-26 13:00:00,0.0,239.0,0.0,1.0,0.1,0.4,9.0
2009-07-01 18:00:00,0.0,124.0,0.0,2.0,0.7250000000000001,0.95,15.0
2009-07-10 14:00:00,0.0,211.0,0.0,2.0,-0.2333333333333333,0.3666666666666667,16.0
2009-07-11 12:00:00,0.0,21.0,0.0,2.0,0.06666666666666667,0.2833333333333334,5.0
2009-07-14 16:00:00,0.0,75.0,0.0,5.0,0.24333333333333332,0.5133333333333333,10.4
2009-07-28 19:00:00,0.0,338.0,0.0,3.0,-0.016666666666666646,0.6222222222222222,13.0
2009-08-14 20:00:00,0.0,408.0,0.0,2.0,0.525,1.0,7.5
2009-08-21 23:00:00,0.0,170.0,0.0,2.0,0.0,0.15,22.0
2009-08-24 13:00:00,0.0,61.0,0.0,2.0,0.009374999999999998,0.29374999999999996,23.0
2009-08-27 10:00:00,0.0,68.0,0.0,1.0,0.0,0.0,8.0
2009-08-29 19:00:00,0.0,56.0,0.3333333333333333,3.0,0.21666666666666667,0.3,14.666666666666666
2009-08-30 15:00:00,0.0,19.0,0.0,2.0,0.065,0.0,12.0
2009-08-31 16:00:00,0.0,24.0,0.0,1.0,0.55,0.9,5.0
2009-09-02 20:00:00,0.0,51.0,0.0,3.0,0.0,0.26666666666666666,3.3333333333333335
2009-09-09 17:00:00,0.0,164.0,0.0,1.0,0.0,0.7,16.0
2009-09-10 12:00:00,0.0,18.0,0.0,1.0,0.0,0.0,7.0
2009-10-05 19:00:00,0.0,606.0,0.0,1.0,0.0,0.0,6.0
2009-10-06 14:00:00,0.0,18.0,0.0,1.0,0.0,0.0,4.0
2009-10-12 16:00:00,0.0,145.0,0.0,2.0,0.0,0.35,10.0
2009-11-19 18:00:00,0.0,913.0,0.0,2.0,0.36250000000000004,0.775,14.0
2009-11-25 21:00:00,0.0,146.0,0.0,1.0,0.0,0.0,9.0
2009-12-30 14:00:00,0.0,832.0,0.5,2.0,0.0,0.0,7.0
2009-12-30 16:00:00,0.0,1.0,0.0,3.0,-0.125,0.2722222222222222,6.666666666666667
2010-01-20 17:00:00,0.0,504.0,0.0,5.0,0.16999999999999998,0.5,11.8
2010-03-28 14:00:00,0.0,1604.0,0.0,1.0,0.0,0.0,14.0
2010-04-29 19:00:00,0.0,772.0,0.0,3.0,0.008333333333333337,0.17500000000000002,8.0
2010-11-04 20:00:00,0.0,4536.0,0.0,6.0,0.03333333333333333,0.06666666666666667,8.0
2010-11-21 16:00:00,0.0,403.0,0.0,1.0,0.7,1.0,6.0
2011-01-07 19:00:00,0.0,1130.0,0.0,11.5,0.047037037037037044,0.4371643518518518,13.625
2011-01-28 10:00:00,0.0,494.0,0.0,5.0,0.1,0.3866666666666667,19.8
