B/U;dependent;independent;AUC;eta;depth;gamma
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.761154074955;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.711427856964;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.651945887658;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.652367586595;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.759389597273;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.698216552665;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.726573110005;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.699501576537;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.681072084481;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.694922091739;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.706926932414;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.692139799334;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.669704861111;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.703131950236;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.645950475779;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.655897241689;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.697548750881;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.689726436892;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.5678;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.615492992993;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.644148400101;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.669405001759;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.688433487641;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.682756361211;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.584390618993;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.659130724952;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.689060874089;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.690019399784;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.703890505214;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.689727958172;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.64788941736;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.703033791952;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.69122085048;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.684529888201;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.647743055556;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.652485767362;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.730124391563;0.05;8;0
B;0;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.698126157217;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.722601264005;0.05;8;0
B;1;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.672333210101;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.659710207612;0.05;8;0
B;2;((3, 11, 13, 14, 6, 7, 9, 10, 12, 4, 5, 8),);0.654857887045;0.05;8;0
