B/U;dependent;independent;AUC;eta;depth;f1
B;2;((9, 10, 12),);0.642248631536;0.05;8;0.0527086383602
B;2;((4, 5, 8),);0.51906503813;0.05;4;0.124567474048
B;2;((4, 5, 8),);0.519679192659;0.05;4;0.043321299639
B;2;((3, 11), (13, 14));0.586001922004;0.05;6;0.550098231827
B;2;((3, 11), (13, 14));0.601225604182;0.05;8;0.0515944106055
B;2;((3, 11), (6, 7));0.523071796144;0.1;6;0.473469387755
B;2;((3, 11), (6, 7));0.531584765944;0.05;4;0.0436067997044
B;2;((3, 11), (9, 10, 12));0.655566061132;0.2;6;0.576064908722
B;2;((3, 11), (9, 10, 12));0.634382634134;0.2;6;0.0557518649391
B;2;((3, 11), (4, 5, 8));0.520181040362;0.2;8;0.47131147541
B;2;((3, 11), (4, 5, 8));0.526646968263;0.05;6;0.0397422126745
B;2;((13, 14), (6, 7));0.566657883316;0.1;4;0.652106084243
B;2;((13, 14), (6, 7));0.581311039659;0.1;4;0.0474784189005
B;2;((13, 14), (9, 10, 12));0.655077810156;0.2;8;0.686998394864
B;2;((13, 14), (9, 10, 12));0.645660771846;0.2;8;0.053068815871
B;2;((13, 14), (4, 5, 8));0.579212908426;0.1;4;0.661514683153
B;2;((13, 14), (4, 5, 8));0.59944486318;0.1;4;0.0487138629638
B;2;((6, 7), (9, 10, 12));0.654721309443;0.2;8;0.68680445151
B;2;((6, 7), (9, 10, 12));0.645527466844;0.2;8;0.0528634361233
B;2;((6, 7), (4, 5, 8));0.519165788332;0.05;4;0.119298245614
B;2;((6, 7), (4, 5, 8));0.508801471099;0.05;4;0.0412621359223
B;2;((9, 10, 12), (4, 5, 8));0.641778783558;0.2;8;0.679425837321
B;2;((9, 10, 12), (4, 5, 8));0.62927595004;0.2;8;0.0518816222141
B;2;((3, 11), (13, 14), (6, 7));0.573222146444;0.05;6;0.530938123752
B;2;((3, 11), (13, 14), (6, 7));0.594027635229;0.1;6;0.0498522895126
B;2;((3, 11), (13, 14), (9, 10, 12));0.66722983446;0.1;4;0.584867075665
B;2;((3, 11), (13, 14), (9, 10, 12));0.657181965671;0.1;4;0.0603885135135
B;2;((3, 11), (13, 14), (4, 5, 8));0.598587947176;0.05;6;0.570281124498
B;2;((3, 11), (13, 14), (4, 5, 8));0.61048295166;0.05;8;0.0506744440394
B;2;((3, 11), (6, 7), (9, 10, 12));0.674414098828;0.05;8;0.586776859504
B;2;((3, 11), (6, 7), (9, 10, 12));0.638366081595;0.2;4;0.0564174894217
B;2;((3, 11), (6, 7), (4, 5, 8));0.528923057846;0.1;8;0.473469387755
B;2;((3, 11), (6, 7), (4, 5, 8));0.539465630696;0.05;4;0.0451297480256
B;2;((3, 11), (9, 10, 12), (4, 5, 8));0.661208072416;0.05;6;0.584362139918
B;2;((3, 11), (9, 10, 12), (4, 5, 8));0.625166380679;0.2;8;0.0553619821913
B;2;((13, 14), (6, 7), (9, 10, 12));0.645514291029;0.2;4;0.679487179487
B;2;((13, 14), (6, 7), (9, 10, 12));0.640405080157;0.2;4;0.0524492825334
B;2;((13, 14), (6, 7), (4, 5, 8));0.599362948726;0.05;6;0.668740279938
B;2;((13, 14), (6, 7), (4, 5, 8));0.6021505538;0.05;6;0.0491372414581
B;2;((13, 14), (9, 10, 12), (4, 5, 8));0.659309318619;0.1;8;0.689102564103
B;2;((13, 14), (9, 10, 12), (4, 5, 8));0.644458688145;0.1;8;0.0529165641152
B;2;((6, 7), (9, 10, 12), (4, 5, 8));0.633873767748;0.2;8;0.673046251994
B;2;((6, 7), (9, 10, 12), (4, 5, 8));0.629455694629;0.2;6;0.051587784402
B;2;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.665788331577;0.1;8;0.558521560575
B;2;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.648320524026;0.1;8;0.0552957918276
B;2;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.58633517267;0.1;6;0.534930139721
B;2;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.598544469747;0.1;6;0.0489408327246
B;2;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.657898815798;0.05;8;0.551440329218
B;2;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.655867792175;0.1;4;0.0620090946672
B;2;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.649784549569;0.1;8;0.554414784394
B;2;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.628911282347;0.1;8;0.0537206526064
B;2;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.652923305847;0.2;6;0.686998394864
B;2;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.643287341437;0.2;6;0.0529637421111
B;2;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.653961807924;0.1;4;0.575510204082
B;2;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.643057816284;0.1;4;0.0576451349141
B;0;((3, 11),);0.618147448015;0.1;6;0.574712643678
B;0;((3, 11),);0.555741871393;0.2;4;0.00830019021269
B;0;((13, 14),);0.628780718336;0.2;6;0.642201834862
B;0;((13, 14),);0.576559191635;0.2;6;0.00838825644098
B;0;((6, 7),);0.489603024575;0.05;4;0.0
B;0;((6, 7),);0.474767598689;0.1;8;0.0
B;0;((9, 10, 12),);0.577504725898;0.05;6;0.618181818182
B;0;((9, 10, 12),);0.57294083737;0.1;8;0.00864410965671
B;0;((4, 5, 8),);0.511342155009;0.2;8;0.078431372549
B;0;((4, 5, 8),);0.526822229312;0.2;8;0.00754716981132
B;0;((3, 11), (13, 14));0.686200378072;0.2;6;0.611764705882
B;0;((3, 11), (13, 14));0.586574926763;0.2;6;0.00942370424067
B;0;((3, 11), (6, 7));0.593336483932;0.1;6;0.512195121951
B;0;((3, 11), (6, 7));0.528286973925;0.1;4;0.0071187043958
B;0;((3, 11), (9, 10, 12));0.630198487713;0.05;8;0.578313253012
B;0;((3, 11), (9, 10, 12));0.584111327842;0.2;4;0.00893377354826
B;0;((3, 11), (4, 5, 8));0.60893194707;0.2;4;0.518518518519
B;0;((3, 11), (4, 5, 8));0.552009310555;0.2;4;0.00749063670412
B;0;((13, 14), (6, 7));0.603497164461;0.2;8;0.615384615385
B;0;((13, 14), (6, 7));0.529878614729;0.05;6;0.00768861124459
B;0;((13, 14), (9, 10, 12));0.631379962193;0.1;8;0.642201834862
B;0;((13, 14), (9, 10, 12));0.611703091916;0.1;6;0.00901829425406
B;0;((13, 14), (4, 5, 8));0.586011342155;0.1;8;0.598130841121
B;0;((13, 14), (4, 5, 8));0.541106208487;0.2;6;0.00773413897281
B;0;((6, 7), (9, 10, 12));0.560964083176;0.2;6;0.625
B;0;((6, 7), (9, 10, 12));0.568876533631;0.1;4;0.00852307317667
B;0;((6, 7), (4, 5, 8));0.469754253308;0.05;4;0.0
B;0;((6, 7), (4, 5, 8));0.477477738782;0.2;8;0.0
B;0;((9, 10, 12), (4, 5, 8));0.583175803403;0.1;6;0.630630630631
B;0;((9, 10, 12), (4, 5, 8));0.579650926705;0.1;6;0.00863238377112
B;0;((3, 11), (13, 14), (6, 7));0.662807183365;0.1;4;0.611764705882
B;0;((3, 11), (13, 14), (6, 7));0.582496120602;0.1;8;0.00846833578792
B;0;((3, 11), (13, 14), (9, 10, 12));0.695888468809;0.05;6;0.619047619048
B;0;((3, 11), (13, 14), (9, 10, 12));0.661403798184;0.05;6;0.0105583756345
B;0;((3, 11), (13, 14), (4, 5, 8));0.698251417769;0.2;8;0.609756097561
B;0;((3, 11), (13, 14), (4, 5, 8));0.577776488674;0.2;6;0.00924727205474
B;0;((3, 11), (6, 7), (9, 10, 12));0.635396975425;0.1;6;0.595238095238
B;0;((3, 11), (6, 7), (9, 10, 12));0.585237984743;0.2;6;0.00951293759513
B;0;((3, 11), (6, 7), (4, 5, 8));0.599480151229;0.1;6;0.530120481928
B;0;((3, 11), (6, 7), (4, 5, 8));0.540381993793;0.1;8;0.00761509172724
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.637287334594;0.1;6;0.588235294118
B;0;((3, 11), (9, 10, 12), (4, 5, 8));0.614769447748;0.05;8;0.00978393803506
B;0;((13, 14), (6, 7), (9, 10, 12));0.634215500945;0.05;8;0.654545454545
B;0;((13, 14), (6, 7), (9, 10, 12));0.613567559532;0.05;4;0.00951034571392
B;0;((13, 14), (6, 7), (4, 5, 8));0.583175803403;0.2;8;0.609523809524
B;0;((13, 14), (6, 7), (4, 5, 8));0.533158881283;0.1;8;0.00773507372492
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.640831758034;0.05;6;0.648148148148
B;0;((13, 14), (9, 10, 12), (4, 5, 8));0.614299931839;0.1;6;0.0092390606955
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.579395085066;0.05;8;0.630630630631
B;0;((6, 7), (9, 10, 12), (4, 5, 8));0.565319814659;0.2;6;0.00849205386388
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.687854442344;0.05;6;0.609756097561
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.634306022856;0.2;4;0.00960768614892
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.677693761815;0.05;8;0.607594936709
B;0;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.563530578357;0.2;4;0.00899381675098
B;0;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.682183364839;0.05;8;0.592592592593
B;0;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.6382416176;0.1;4;0.0110791957325
B;0;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.637287334594;0.1;4;0.602409638554
B;0;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.607303419671;0.1;4;0.00950028500855
B;0;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.673913043478;0.05;4;0.660550458716
B;0;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.624255844476;0.05;4;0.00925449871465
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.68690926276;0.05;8;0.571428571429
B;0;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.631622168402;0.2;4;0.00983864620228
B;1;((3, 11),);0.564574515482;0.1;6;0.518518518519
B;1;((3, 11),);0.583284748134;0.1;6;0.025
B;1;((13, 14),);0.610575852083;0.05;8;0.414141414141
B;1;((13, 14),);0.589333762137;0.2;8;0.0322450624748
B;1;((6, 7),);0.523223435063;0.05;4;0.0979020979021
B;1;((6, 7),);0.485084343905;0.1;8;0.0173661360347
B;1;((9, 10, 12),);0.656159501002;0.05;4;0.468292682927
B;1;((9, 10, 12),);0.627891916426;0.2;8;0.0359856057577
B;1;((4, 5, 8),);0.533164401871;0.2;8;0.135135135135
B;1;((4, 5, 8),);0.53337521064;0.1;8;0.0372881355932
B;1;((3, 11), (13, 14));0.614864112274;0.2;6;0.569288389513
B;1;((3, 11), (13, 14));0.623250619383;0.2;6;0.0289193302892
B;1;((3, 11), (6, 7));0.589914234796;0.05;8;0.522727272727
B;1;((3, 11), (6, 7));0.594721077074;0.2;6;0.0265502183406
B;1;((3, 11), (9, 10, 12));0.64206950323;0.1;6;0.586956521739
B;1;((3, 11), (9, 10, 12));0.664248691021;0.1;6;0.0328467153285
B;1;((3, 11), (4, 5, 8));0.608626642905;0.05;6;0.540540540541
B;1;((3, 11), (4, 5, 8));0.60211762508;0.05;6;0.0264200792602
B;1;((13, 14), (6, 7));0.605814212519;0.2;8;0.421568627451
B;1;((13, 14), (6, 7));0.595621313794;0.2;8;0.0323065364388
B;1;((13, 14), (9, 10, 12));0.673535308532;0.05;4;0.485714285714
B;1;((13, 14), (9, 10, 12));0.659568839271;0.05;4;0.0427314620863
B;1;((13, 14), (4, 5, 8));0.618790376476;0.1;6;0.43137254902
B;1;((13, 14), (4, 5, 8));0.602601909806;0.2;8;0.0331790123457
B;1;((6, 7), (9, 10, 12));0.628536422366;0.05;6;0.441176470588
B;1;((6, 7), (9, 10, 12));0.605574383626;0.05;8;0.0328638497653
B;1;((6, 7), (4, 5, 8));0.524949877478;0.05;4;0.145695364238
B;1;((6, 7), (4, 5, 8));0.51653714793;0.1;4;0.0284495021337
B;1;((9, 10, 12), (4, 5, 8));0.646803296948;0.05;6;0.445544554455
B;1;((9, 10, 12), (4, 5, 8));0.637045367918;0.2;4;0.0369061641146
B;1;((3, 11), (13, 14), (6, 7));0.628564268211;0.05;8;0.555984555985
B;1;((3, 11), (13, 14), (6, 7));0.619471631259;0.1;6;0.0308056872038
B;1;((3, 11), (13, 14), (9, 10, 12));0.672532858098;0.1;8;0.608058608059
B;1;((3, 11), (13, 14), (9, 10, 12));0.690050252768;0.05;4;0.0359499431172
B;1;((3, 11), (13, 14), (4, 5, 8));0.64237580753;0.05;6;0.581132075472
B;1;((3, 11), (13, 14), (4, 5, 8));0.647906824246;0.05;6;0.031454248366
B;1;((3, 11), (6, 7), (9, 10, 12));0.62149142348;0.2;8;0.573476702509
B;1;((3, 11), (6, 7), (9, 10, 12));0.656159412113;0.05;6;0.0328790828466
B;1;((3, 11), (6, 7), (4, 5, 8));0.601887948318;0.05;6;0.532818532819
B;1;((3, 11), (6, 7), (4, 5, 8));0.60394630928;0.1;8;0.0276693863072
B;1;((3, 11), (9, 10, 12), (4, 5, 8));0.629121185119;0.1;8;0.56204379562
B;1;((3, 11), (9, 10, 12), (4, 5, 8));0.656186055609;0.1;8;0.0312119983786
B;1;((13, 14), (6, 7), (9, 10, 12));0.654433058588;0.1;4;0.481132075472
B;1;((13, 14), (6, 7), (9, 10, 12));0.646337365591;0.1;6;0.039587628866
B;1;((13, 14), (6, 7), (4, 5, 8));0.599688126532;0.2;4;0.41
B;1;((13, 14), (6, 7), (4, 5, 8));0.589260727612;0.2;4;0.0316358024691
B;1;((13, 14), (9, 10, 12), (4, 5, 8));0.680997995099;0.2;4;0.492890995261
B;1;((13, 14), (9, 10, 12), (4, 5, 8));0.652511133847;0.05;8;0.0406133443846
B;1;((6, 7), (9, 10, 12), (4, 5, 8));0.634940966808;0.05;4;0.433497536946
B;1;((6, 7), (9, 10, 12), (4, 5, 8));0.626072008907;0.2;8;0.0372424722662
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.661505903319;0.2;4;0.60447761194
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.674379175193;0.05;4;0.033413937129
B;1;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.620906660726;0.1;6;0.570342205323
B;1;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.628308181873;0.1;6;0.0296325563019
B;1;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.669107819113;0.2;4;0.609665427509
B;1;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.685340622994;0.05;4;0.0366025340216
B;1;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.618484072176;0.2;6;0.57761732852
B;1;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.653555558899;0.1;6;0.0320131335933
B;1;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.667186455781;0.05;6;0.468292682927
B;1;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.649103273953;0.1;8;0.0404290429043
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.67826910225;0.05;6;0.588235294118
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.678948691522;0.05;4;0.035739150615
B;2;((3, 11),);0.575438668332;0.05;4;0.537585421412
B;2;((3, 11),);0.587937579;0.05;4;0.042423152975
B;2;((13, 14),);0.573442394709;0.1;6;0.395209580838
B;2;((13, 14),);0.581997444436;0.1;6;0.0475504322767
B;2;((6, 7),);0.476935361684;0.05;8;0.0728744939271
B;2;((6, 7),);0.496387787056;0.1;6;0.0257142857143
B;2;((9, 10, 12),);0.663868471162;0.1;8;0.470588235294
B;2;((9, 10, 12),);0.650685970094;0.1;8;0.059880239521
B;2;((4, 5, 8),);0.522286603468;0.2;8;0.0912863070539
B;2;((4, 5, 8),);0.511752950443;0.2;8;0.0332829046899
B;2;((3, 11), (13, 14));0.598564730452;0.05;8;0.543378995434
B;2;((3, 11), (13, 14));0.621522524685;0.05;4;0.0491214057508
B;2;((3, 11), (6, 7));0.586351630802;0.05;4;0.563192904656
B;2;((3, 11), (6, 7));0.593041813753;0.05;4;0.0449239476477
B;2;((3, 11), (9, 10, 12));0.656088122684;0.2;6;0.613390928726
B;2;((3, 11), (9, 10, 12));0.666523074166;0.1;4;0.0534759358289
