B/U;dependent;independent;AUC;eta;depth;f1;cm
B;1;((3, 11), (6, 7), (9, 10, 12));0.740407412784;0.05;8;0.694280078895;[167  82  73 176]
B;1;((3, 11), (6, 7), (9, 10, 12));0.731337841924;0.05;8;0.0374149659864;[14843  8983    73   176]
B;1;((3, 11), (6, 7), (4, 5, 8));0.641417073918;0.05;8;0.611764705882;[144 105  93 156]
B;1;((3, 11), (6, 7), (4, 5, 8));0.618312248406;0.05;8;0.0279569892473;[13071 10755    93   156]
B;1;((3, 11), (9, 10, 12), (4, 5, 8));0.74620570636;0.05;10;0.698841698842;[161  88  68 181]
B;1;((3, 11), (9, 10, 12), (4, 5, 8));0.73495594061;0.05;10;0.0383474576271;[14816  9010    68   181]
B;1;((13, 14), (6, 7), (9, 10, 12));0.735036531669;0.2;8;0.71974522293;[ 96 153  23 226]
B;1;((13, 14), (6, 7), (9, 10, 12));0.711959227829;0.1;12;0.0282067645182;[ 8626 15200    28   221]
B;1;((13, 14), (6, 7), (4, 5, 8));0.638352607216;0.05;10;0.665594855305;[ 83 166  42 207]
B;1;((13, 14), (6, 7), (4, 5, 8));0.64653358671;0.1;10;0.0253745770904;[ 7733 16093    39   210]
B;1;((13, 14), (9, 10, 12), (4, 5, 8));0.741891259818;0.2;12;0.727272727273;[ 99 150  21 228]
B;1;((13, 14), (9, 10, 12), (4, 5, 8));0.728656757476;0.2;12;0.0292008196721;[ 8687 15139    21   228]
B;1;((6, 7), (9, 10, 12), (4, 5, 8));0.684247028274;0.1;12;0.691318327974;[ 91 158  34 215]
B;1;((6, 7), (9, 10, 12), (4, 5, 8));0.694605923063;0.2;12;0.0274403675499;[ 8404 15422    31   218]
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.772560119998;0.05;12;0.69921875;[165  84  70 179]
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12));0.754523676845;0.05;12;0.038698519079;[15003  8823    70   179]
B;1;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.705407977291;0.2;10;0.646825396825;[157  92  86 163]
B;1;((3, 11), (13, 14), (6, 7), (4, 5, 8));0.692686046798;0.2;10;0.0321340561853;[14093  9733    86   163]
B;1;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.771350462089;0.05;8;0.717348927875;[169  80  65 184]
B;1;((3, 11), (13, 14), (9, 10, 12), (4, 5, 8));0.754586127605;0.05;8;0.0400653238977;[15074  8752    65   184]
B;1;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.741044499282;0.05;10;0.697855750487;[164  85  70 179]
B;1;((3, 11), (6, 7), (9, 10, 12), (4, 5, 8));0.731676559339;0.05;10;0.0381866666667;[14879  8947    70   179]
B;1;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.731665618296;0.05;12;0.71974522293;[ 96 153  23 226]
B;1;((13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.723690025779;0.05;12;0.0288191787809;[ 8617 15209    23   226]
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.773963323172;0.05;10;0.715667311412;[166  83  64 185]
B;1;((3, 11), (13, 14), (6, 7), (9, 10, 12), (4, 5, 8));0.758076543562;0.05;10;0.0406147091109;[15150  8676    64   185]
B;2;((3, 11),);0.5799031477;0.1;8;0.530510585305;[236 177 200 213]
B;2;((3, 11),);0.566447505353;0.05;8;0.0385764737843;[13245 10417   200   213]
B;2;((13, 14),);0.679053638117;0.05;10;0.693719806763;[150 263  54 359]
B;2;((13, 14),);0.641817378443;0.2;12;0.0425761573519;[ 7754 15908    58   355]
B;2;((6, 7),);0.516365810904;0.1;8;0.661654135338;[ 25 388  17 396]
B;2;((6, 7),);0.504962237549;0.1;8;0.0339157245632;[ 1119 22543    17   396]
B;2;((9, 10, 12),);0.700241544478;0.1;12;0.704091341579;[145 268  43 370]
B;2;((9, 10, 12),);0.691734717121;0.1;12;0.0453876349362;[ 8141 15521    43   370]
B;2;((4, 5, 8),);0.519889311657;0.05;10;0.664440734558;[ 26 387  15 398]
B;2;((4, 5, 8),);0.513254310146;0.05;10;0.0343207002113;[ 1280 22382    15   398]
B;2;((3, 11), (13, 14));0.680126517714;0.1;12;0.611650485437;[254 159 161 252]
B;2;((3, 11), (13, 14));0.663589243018;0.1;12;0.0504;[14327  9335   161   252]
B;2;((3, 11), (6, 7));0.583285942932;0.05;10;0.522292993631;[246 167 208 205]
