Date & Time,Posts in last 24H,Inactivity,First posts,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2006-12-09 09:00:00,0,45,0.0,0.294117647059,17.0,0.0254901960784,0.08921568627450001,7.23529411765
2006-12-09 10:00:00,1,0,0.0,0.904761904762,21.0,0.00952380952381,0.0238095238095,2.8095238095200004
2006-12-09 13:00:00,2,2,0.0,0.14285714285700002,7.0,-0.06666666666669999,0.257142857143,10.142857142899999
2006-12-09 19:00:00,3,5,0.0,0.6,5.0,-0.011111111111099999,0.264444444444,7.8
2006-12-11 09:00:00,0,37,0.0,0.117647058824,17.0,0.118014705882,0.159068627451,6.5882352941199995
2006-12-11 10:00:00,1,0,0.0,0.135135135135,37.0,0.0364864864865,0.0504504504505,1.7027027027000001
2006-12-11 12:00:00,2,1,0.0,0.0,1.0,0.0,0.0,19.0
2006-12-12 09:00:00,3,20,0.0,0.666666666667,18.0,0.04814814814809999,0.15462962963,6.27777777778
2006-12-12 18:00:00,1,8,0.0,0.0,6.0,0.225,0.33333333333299997,3.33333333333
2006-12-18 12:00:00,0,137,0.0,0.0,5.0,-0.06916666666669999,0.13,9.6
2006-12-19 13:00:00,0,24,0.0,0.0,16.0,-0.017630208333299997,0.29375,12.3125
2006-12-21 08:00:00,0,42,0.0,0.222222222222,18.0,-0.0028240740740700003,0.113518518519,8.166666666669999
2006-12-30 19:00:00,0,226,0.0,0.222222222222,18.0,0.0469328703704,0.135648148148,4.33333333333
2006-12-30 23:00:00,1,3,0.0,0.0,23.0,0.0434782608696,0.17735507246399998,4.65217391304
2006-12-31 13:00:00,2,13,0.0,0.166666666667,6.0,0.075,0.141666666667,8.666666666669999
2007-01-02 12:00:00,0,46,0.0,0.39024390243900003,41.0,0.0576219512195,0.151829268293,2.73170731707
2007-01-02 18:00:00,1,5,0.0,0.451612903226,31.0,-0.0189516129032,0.04838709677419999,3.6451612903199995
2007-01-04 18:00:00,0,47,1.0,0.75,24.0,-0.0342013888889,0.07673611111110001,4.625
2007-01-04 19:00:00,1,0,0.0,0.148148148148,13.5,-0.0466049382716,0.19367283950599998,7.48148148148
2007-01-04 23:00:00,3,3,0.0,0.0,5.0,0.0,0.0,8.4
2007-01-08 22:00:00,0,94,0.0,0.153846153846,13.0,-0.041346153846199996,0.16820512820500003,9.92307692308
2007-01-10 12:00:00,0,37,0.0,0.0,11.0,-0.0393939393939,0.160606060606,9.0
2007-01-10 14:00:00,1,1,0.0,0.0,10.0,0.116666666667,0.26333333333299996,5.3
2007-01-15 18:00:00,0,123,1.0,0.529411764706,17.0,0.008333333333329999,0.258823529412,9.0
2007-01-15 19:00:00,1,0,0.0,0.5,2.0,0.18333333333299998,0.3,15.5
2007-01-15 22:00:00,2,2,0.0,0.0,3.0,0.266666666667,0.3,12.666666666700001
2007-01-16 08:00:00,3,9,0.0,0.17391304347800002,23.0,-0.0311594202899,0.115579710145,4.0
2007-01-18 13:00:00,0,52,0.0,0.0,7.0,-0.08928571428570001,0.128571428571,3.85714285714
2007-01-18 19:00:00,1,5,0.0,0.125,8.0,-0.119166666667,0.469791666667,15.75
