user,activity,active days
4918,1,1391
5009,2,1323
2760,3,2794
2767,4,2403
2766,358,2824
902,3765,4843
903,14,4843
900,19,4742
901,534,4840
906,990,4843
907,76,4843
904,64,4839
905,3575,4844
4422,1,1723
1842,2,3878
1841,530,3881
909,4,4839
1845,304,3869
6076,32,244
6075,1,252
4959,188,1355
6073,3,254
6071,1,252
2165,13,3500
4953,1,1360
4950,40,1366
2166,2,3500
4956,3,1358
4957,236,1351
6079,2,234
2162,29,3493
2616,181,2980
2614,2,2978
4916,5,1394
2610,13,2981
3868,1,1709
4540,1,1123
3294,2,2389
3296,5,2386
1905,6,3363
1902,7,3810
3291,76,2354
3292,6,2387
1901,7,3800
3453,1,2272
3450,87,2278
3454,3,2226
3458,17,2276
5229,6,1109
5223,1,1119
5220,1,1107
5227,1,455
5225,2,1117
5224,1,1119
3062,27,2267
3067,2,2484
3065,1,2515
17943,4,107
2947,60,2542
3068,6,2513
2940,87,2595
1050,3,4488
1051,28,4616
1053,5,4648
1055,4,4668
5350,1,1002
1058,24,4664
5421,11,940
5359,3,997
5358,9,999
1697,4,4040
1694,878,4045
1695,104,4044
1692,101,3919
1691,8,3960
1279,9,4378
4313,5,1788
1270,1,3820
1271,1,4388
1272,314,4423
1274,2,4286
5236,12,1100
3119,1,2354
3118,4,2478
3117,28,2564
3116,1,2488
3115,1,2484
3114,188,2490
3112,1,2490
3111,1,2489
1472,154,4227
1470,347,4062
3330,93,2354
1476,25,4239
1477,22,4230
1478,3,4236
1479,207,4227
1304,116,4399
1306,30,4399
1301,74,4409
1303,11,4139
5740,1,631
5741,5,563
5743,4,629
5745,6,628
5468,2,884
4224,14,1840
4227,8,1790
4220,15,1667
4223,1,1781
5586,1,765
5584,4,768
5585,4,764
5582,1,773
5583,1,769
5580,2,777
5028,1,1309
3939,5,1743
1068,6,4583
3391,5,2316
3937,1,1970
3936,4,1955
3931,2,1973
3930,2,1974
3933,7,1902
3932,2,1973
5263,7,1079
1516,8,4159
1706,3,4040
4130,1,1881
4131,89,1878
4135,2,1879
5692,1,678
3840,2,2039
3843,10,2038
3844,27,2037
4430,1,1618
5306,2,1024
5307,2,1038
4044,8,1781
4045,2,1915
4041,162,1916
4042,4,1655
5961,7,389
5964,1,384
3665,1,2142
4945,1,1369
3667,9,2061
3666,6,2148
3662,39,2138
2280,2,2595
2281,18,3336
2282,7,3335
2287,145,3325
4549,14,1659
4541,8,1663
973,150,4754
4542,2,1663
1468,126,4241
4940,1,1377
939,1,2751
2579,2,3004
2576,10,2938
2577,15,2998
2572,85,3005
2571,1,2987
4535,2,1387
2374,1,3227
2375,16,3080
2376,655,3184
2377,2,3224
2370,23,3227
2371,5,3230
2373,66,3229
3597,55,2153
3596,4,2164
3594,2,2119
5035,1,1307
5032,17,1307
4532,2,1668
1870,114,3844
4432,12,1728
4438,1,1063
1878,21,3838
977,70,4770
976,1123,4744
4947,17,1179
974,20,4661
4941,17,1373
972,15,4772
970,230,4762
4948,1,1367
6043,1,296
6041,6,296
6045,4,286
2111,15,3571
6049,1,282
2114,931,3563
2117,5,3558
4152,33,1870
2626,20,2973
2624,14,2969
2625,72,2973
2628,1,2972
1919,21,3736
1918,202,3779
5109,2,1245
3289,1,2392
1911,33,3641
5100,4,1218
1912,22,3716
1915,8,3419
3282,1,2396
5104,3,1249
3280,3,2277
3140,6,1003
3444,3,2282
3447,161,2278
2756,137,2825
2025,1,3671
2755,303,2833
2020,1,3673
2750,3,2838
2028,57,3668
2029,145,3671
5216,1,1090
5214,11,1127
5213,1,669
5211,1,1128
5218,23,1107
774,2,302
4596,3,1631
76,15,622
17868,13,126
17939,9,108
2970,6,2513
3055,10,2510
3053,1,2386
2975,9,2187
5362,1,996
1042,8,4652
1041,1,3487
1047,33,4674
1046,4,4555
5364,1,762
3527,33,2233
17940,3,31
5413,7,952
1683,266,4053
1685,59,4058
1684,1,3971
5246,11,1090
1688,3,4055
4302,2,1794
3024,1,2550
4307,1,1778
4304,2,1582
1263,2,4431
2987,8,2556
1266,1,4421
1264,2,4430
3287,22,2359
5101,1,1249
17942,2,108
17846,1,131
3124,88,2481
1469,1,4245
3281,3,2397
1465,3,4255
6065,3,216
1467,4,4250
1466,54,4210
1316,1,4400
1314,2,4401
1312,354,4363
1311,3,4406
1319,10,4398
5753,1,624
5751,4,625
5750,3,625
5756,17,618
4238,3,1832
4237,2,1821
5758,11,620
5590,127,759
5593,1,752
5594,40,715
5596,3,758
3948,14,1962
3942,2,1948
3943,1,781
3945,4,1911
3946,389,1625
4129,7,1835
4128,1,1882
2757,6,2748
4122,3,1853
4120,6,1544
5688,7,661
5685,1,391
5687,1,682
5686,3,682
5683,179,670
4706,1,1557
1331,11,3910
4604,1,1626
4703,4,1544
4702,6,1562
4056,4,1913
4053,14,1913
4051,2,1914
4059,13,1909
4058,4,1911
1617,74,4106
5979,2,222
5978,2,368
5973,7,371
5972,3,373
5970,1,323
5977,1,369
5675,4,689
3610,1,2177
3614,2,1665
3616,26,2176
3617,55,2174
3618,41,2173
2292,1,3321
2296,7,3314
4354,3,883
2569,5,3005
2561,1,3016
2565,32,3012
5196,3,1132
2567,3,2983
2367,13,3218
2363,6,3205
5029,2,1163
2586,14,2981
2583,18,2973
2580,112,2985
5021,2,1305
5025,1,616
2589,6,2998
2588,37,2996
4441,53,1717
1863,6,3850
1862,13,3848
4444,4,1723
4445,3,1657
1866,3,3852
1869,22,3846
1868,23,3843
3727,1,2100
3721,12,2079
4686,13,1580
965,4,4650
966,118,4788
967,4,4725
960,119,4795
961,3,4794
962,55,4483
4681,25,1567
968,372,4754
969,144,4785
4689,1,1560
2109,8,3579
6058,4,273
2103,8,3590
6054,2,278
2107,13,3556
6050,2,282
5117,2,1233
2639,1,2913
5113,10,1121
5112,1,581
2634,14,1654
2636,153,2951
2630,74,2953
2633,2,2968
3430,7,2267
3432,5,2284
3433,6,2292
3434,1,2246
1243,8,4395
3436,21,2276
2740,37,2851
2742,3,2848
2033,9,3615
2744,2,2709
2031,5,2067
2030,1,3670
4844,1,1434
2748,3,2708
4846,59,1411
4847,43,1432
4840,3,1386
4843,1,1399
897,114,3958
5201,6,1101
5202,47,1116
5204,27,973
5207,15,1134
5206,3,1143
5208,1,923
3544,2,2221
5194,3,1149
5197,1,1146
2965,6,2578
1789,5,3943
1967,2,3690
2963,1,2578
2962,3,2582
1780,10,3920
1783,4045,3948
1785,9,3590
1786,29,3942
17923,14,113
3040,27,2085
17928,2,99
3045,2,2483
3044,3,2455
3046,1,2532
5378,2,983
1076,1,4296
1074,20,4633
5371,2,901
5370,1,992
1071,620,4649
18224,3,29
18225,8,26
1678,14,4062
1675,2,4063
5149,1,1203
1677,4,3959
18228,2,24
1673,3,3679
1094,33,4619
1097,16,4609
1090,146,4622
1091,9,4624
1093,2,4574
1098,36,4599
3135,127,2478
3137,4,2477
17855,4,130
1418,2,4299
6019,3,318
1411,1,4302
1413,2,4272
1414,102,4299
1322,586,4396
1320,782,4371
1326,9,4381
1327,160,4382
3963,1,1955
1328,3,3468
1329,33,4387
5766,1,612
5767,1,606
5764,6,610
5765,4,614
4207,1,1742
4204,1,1848
4205,10,1817
1917,1,3776
5566,1,788
5181,5,1161
1256,90,4390
1257,4,4311
1254,8,4350
1255,25,4437
1520,1,4133
1253,1,4321
1250,5,4441
1251,3,4439
1529,9,4134
3956,1,1957
4117,1,1836
4114,180,1887
4115,5,1887
4111,20,1888
17244,2,1127
5143,2,1202
5159,1,1190
4899,164,1402
2972,3,2550
3341,2,2350
5946,3,409
5947,2,408
5945,4,410
5942,19,408
5943,1,160
5940,4,416
4065,12,1852
5949,1,404
5784,3,596
2770,2,2820
5786,3,596
5782,2,600
5783,1,599
5788,7,595
3603,41,2112
3602,3,2187
3606,1,2179
3605,3,2182
5155,2,1194
3609,27,2144
3608,4,2180
5360,5,998
5154,2,1196
5366,1,995
4894,3,1408
5367,2,992
6114,5,179
6116,5,177
1044,2,4529
6110,4,161
6111,2,190
6112,2,175
2352,10,3249
2353,6,3247
4944,11,1372
17692,1,148
1899,1,3735
4455,4,1717
3738,7,2105
1896,1,3682
4458,1,1676
1891,83,3821
959,30,4795
2137,167,3532
2134,162,2921
2135,23,3539
4927,1,1385
4694,8,1571
4697,1,1569
2131,1,3550
951,34,4805
4929,2,1379
955,499,4735
6021,1,317
6024,7,314
6025,1,314
2648,1,2957
5161,3,1190
5163,6,1181
5165,1,1183
5167,112,1150
5169,6,1136
2642,258,2961
2643,3,2753
2644,4,2960
4802,1,1475
2646,6,2960
3428,1,2286
5417,3,746
3427,3,2272
3426,4,2296
3425,2,2138
2006,6,3558
2004,3,3690
4581,2,1637
4851,2,1389
4582,6,1637
4414,1,1301
3557,49,2211
3556,31,2176
3554,2,2215
3550,121,2213
2170,16,3488
6060,1,267
6061,2,266
2914,3,2613
2174,2,3161
2916,2,2624
2917,3,2620
1791,5,3942
17918,1,115
5955,16,397
917,884,4840
1069,212,4471
5309,4,1031
5300,31,1045
1062,1446,4660
5304,4,1043
1067,2,4649
1066,24,4652
18250,5,17
1669,2,3681
1663,16,4070
1661,1,3405
1660,1,3959
1087,2049,4633
4328,7,1778
593,4,1255
1084,38,4624
1080,35,4635
4325,18,1781
18079,1,73
2829,5,2567
2825,115,2748
2823,164,2753
5414,6,951
3385,148,2321
3383,22,2298
3381,3,2256
5502,4,851
17860,6,129
5418,19,944
5419,5,945
3965,1,1948
1403,2,4277
1401,7,4299
1405,415,4305
1404,2,4309
4214,1,1690
1339,5,3303
4210,3,1812
1335,37,4336
1337,2,4384
4219,2,1843
1332,66,4386
5778,3,604
5771,2,610
5775,23,609
5777,1,607
5776,1,608
5574,7,783
5572,2,786
5570,1,788
1240,1,862
3090,11,2504
3096,1,2500
3097,71,2486
3095,2,2501
1249,49,4441
1248,143,4440
3098,7,2499
1539,27,3927
3268,1,2270
4109,47,1888
5347,6,1006
3898,141,1991
3892,9,1917
3897,3,1910
3894,2,1993
3895,734,1789
5411,1,943
2119,3,2029
5953,23,400
4079,3,1902
5954,2,399
5958,2,393
4076,13,1759
4070,7,1906
4072,1,1905
5797,3,589
5794,7,591
5793,18,587
5792,4,592
3960,29,1956
5790,14,534
3968,4,1932
5798,1,367
3638,31,2163
3636,2,2106
3631,2,2111
5343,2,999
2345,180,3252
2347,42,3252
2341,5,3252
2343,1,3203
6108,2,192
6107,3,193
6106,2,195
6105,2,195
2349,58,3250
6102,3,159
3708,2,2121
4468,3,1708
1888,27,3710
