,,Date & Time,ETD,Sentiment
3,34784,2008-08-20 12:00:00,480.0,0.16954365079365077
3,34787,2008-08-20 15:00:00,480.0,0.17944444444444443
3,34789,2008-08-20 17:00:00,480.0,0.16828703703703704
3,34806,2008-08-21 10:00:00,479.0,-0.1
3,34808,2008-08-21 12:00:00,479.0,0.15833333333333333
3,34816,2008-08-21 20:00:00,479.0,0.05244851258581236
3,34818,2008-08-21 22:00:00,479.0,0.375
3,34830,2008-08-22 10:00:00,478.0,0.05
3,34884,2008-08-24 16:00:00,476.0,0.0
3,34931,2008-08-26 15:00:00,474.0,0.031746031746031744
3,34937,2008-08-26 21:00:00,474.0,0.05416666666666667
3,34955,2008-08-27 15:00:00,473.0,0.28214285714285714
3,34961,2008-08-27 21:00:00,473.0,0.22708333333333336
3,34962,2008-08-27 22:00:00,473.0,0.008333333333333333
3,34975,2008-08-28 11:00:00,472.0,0.21666666666666665
3,34976,2008-08-28 12:00:00,472.0,0.05059523809523808
3,34983,2008-08-28 19:00:00,472.0,0.26666666666666666
3,34986,2008-08-28 22:00:00,472.0,0.07625
3,35001,2008-08-29 13:00:00,471.0,0.03217592592592592
3,35002,2008-08-29 14:00:00,471.0,0.06593750000000002
3,35003,2008-08-29 15:00:00,471.0,0.004166666666666667
3,35004,2008-08-29 16:00:00,471.0,0.155
3,35441,2008-09-16 21:00:00,453.0,0.21300000000000005
3,35465,2008-09-17 21:00:00,452.0,0.0
3,35510,2008-09-19 18:00:00,450.0,0.1875
3,35536,2008-09-20 20:00:00,449.0,0.2816666666666667
3,35562,2008-09-21 22:00:00,448.0,0.0
3,35585,2008-09-22 21:00:00,447.0,0.34375
3,35611,2008-09-23 23:00:00,446.0,0.0
3,35682,2008-09-26 22:00:00,443.0,0.47222222222222227
3,35816,2008-10-02 12:00:00,437.0,0.2933333333333333
3,35851,2008-10-03 23:00:00,436.0,0.084375
3,35895,2008-10-05 19:00:00,434.0,0.09252777777777778
3,37429,2008-12-08 17:00:00,370.0,0.16099999999999998
3,37554,2008-12-13 22:00:00,365.0,0.19999999999999998
3,37556,2008-12-14 00:00:00,365.0,0.03333333333333333
3,37937,2008-12-29 21:00:00,349.0,0.0
3,38510,2009-01-22 18:00:00,325.0,0.17916666666666667
3,38513,2009-01-22 21:00:00,325.0,0.17447916666666666
3,38514,2009-01-22 22:00:00,325.0,0.1
3,38535,2009-01-23 19:00:00,324.0,-0.004166666666666661
3,38600,2009-01-26 12:00:00,321.0,0.10833333333333334
3,38602,2009-01-26 14:00:00,321.0,0.05154320987654321
3,38603,2009-01-26 15:00:00,321.0,0.15
3,38606,2009-01-26 18:00:00,321.0,-0.06999999999999999
3,38658,2009-01-28 22:00:00,319.0,0.09479166666666669
3,38768,2009-02-02 12:00:00,314.0,0.05833333333333333
3,38849,2009-02-05 21:00:00,311.0,0.19523809523809524
3,40072,2009-03-28 20:00:00,260.0,0.02745833333333334
3,40075,2009-03-28 23:00:00,260.0,0.19861111111111115
3,40187,2009-04-02 15:00:00,255.0,-0.06825396825396825
3,40283,2009-04-06 15:00:00,251.0,0.0
3,40286,2009-04-06 18:00:00,251.0,-0.14314814814814814
3,40335,2009-04-08 19:00:00,249.0,0.07222222222222223
3,40337,2009-04-08 21:00:00,249.0,0.255
3,42585,2009-07-11 13:00:00,155.0,0.06
3,42609,2009-07-12 13:00:00,154.0,0.25
3,42610,2009-07-12 14:00:00,154.0,0.04785714285714287
3,42826,2009-07-21 14:00:00,145.0,0.16999999999999998
3,42834,2009-07-21 22:00:00,145.0,0.0
3,42849,2009-07-22 13:00:00,144.0,0.08712121212121211
3,42854,2009-07-22 18:00:00,144.0,-0.07944444444444444
3,42873,2009-07-23 13:00:00,143.0,0.2
3,42874,2009-07-23 14:00:00,143.0,0.0
3,42877,2009-07-23 17:00:00,143.0,-0.1375
3,43243,2009-08-07 23:00:00,128.0,0.225
3,43958,2009-09-06 18:00:00,98.0,0.23333333333333336
4,56724,2011-02-20 16:00:00,2106.0,0.10476190476190475
4,56814,2011-02-24 10:00:00,2102.0,0.03174603174603175
4,56816,2011-02-24 12:00:00,2102.0,-0.275
4,57413,2011-03-21 09:00:00,2077.0,0.23541666666666666
4,57544,2011-03-26 20:00:00,2072.0,0.0
4,57582,2011-03-28 10:00:00,2070.0,0.325
4,57774,2011-04-05 10:00:00,2062.0,0.005952380952380963
4,57797,2011-04-06 09:00:00,2061.0,-0.024999999999999994
4,57809,2011-04-06 21:00:00,2061.0,-0.16875
4,57834,2011-04-07 22:00:00,2060.0,-0.5499999999999999
4,57856,2011-04-08 20:00:00,2059.0,0.125625
4,57966,2011-04-13 10:00:00,2054.0,0.3
4,59094,2011-05-30 10:00:00,2007.0,0.08666666666666667
4,59167,2011-06-02 11:00:00,2004.0,-0.07291666666666666
4,59191,2011-06-03 11:00:00,2003.0,0.18481481481481482
4,59285,2011-06-07 09:00:00,1999.0,0.018333333333333337
4,59790,2011-06-28 10:00:00,1978.0,-0.10555555555555553
4,60920,2011-08-14 12:00:00,1931.0,0.08898809523809526
4,61445,2011-09-05 09:00:00,1909.0,-0.04499999999999999
4,61448,2011-09-05 12:00:00,1909.0,0.03333333333333334
4,62837,2011-11-02 09:00:00,1851.0,0.04625000000000001
4,63318,2011-11-22 10:00:00,1831.0,-0.04752976190476188
4,63416,2011-11-26 12:00:00,1827.0,0.1793904958677686
4,63966,2011-12-19 10:00:00,1804.0,0.175
4,64068,2011-12-23 16:00:00,1800.0,0.28
4,64543,2012-01-12 11:00:00,1780.0,0.11000000000000001
4,65071,2012-02-03 11:00:00,1758.0,-0.03333333333333329
4,66273,2012-03-24 13:00:00,1708.0,-0.17777777777777773
4,67566,2012-05-17 10:00:00,1654.0,-0.16491666666666666
4,69653,2012-08-12 09:00:00,1567.0,0.0
4,70470,2012-09-15 10:00:00,1533.0,0.07395833333333333
4,70479,2012-09-15 19:00:00,1533.0,0.06570512820512821
4,70502,2012-09-16 18:00:00,1532.0,0.0
4,70809,2012-09-29 13:00:00,1519.0,-0.010119047619047607
4,70880,2012-10-02 12:00:00,1516.0,0.0
4,70904,2012-10-03 12:00:00,1515.0,-0.04666666666666666
4,70909,2012-10-03 17:00:00,1515.0,0.065625
4,70933,2012-10-04 17:00:00,1514.0,0.10052083333333334
4,71240,2012-10-17 12:00:00,1501.0,-0.08571428571428572
4,71365,2012-10-22 17:00:00,1496.0,-0.016166666666666656
4,71394,2012-10-23 22:00:00,1495.0,-0.06142857142857143
4,71752,2012-11-07 20:00:00,1480.0,0.0
4,72221,2012-11-27 09:00:00,1460.0,0.012500000000000011
4,72660,2012-12-15 16:00:00,1442.0,-0.25
4,72705,2012-12-17 13:00:00,1440.0,0.47500000000000003
4,75174,2013-03-30 10:00:00,1337.0,0.14404761904761904
4,75368,2013-04-07 12:00:00,1329.0,-0.016666666666666663
4,76279,2013-05-15 11:00:00,1291.0,-0.08125
4,76450,2013-05-22 14:00:00,1284.0,0.325
4,77765,2013-07-16 09:00:00,1229.0,0.25555555555555554
4,77862,2013-07-20 10:00:00,1225.0,0.03888888888888886
4,77889,2013-07-21 13:00:00,1224.0,0.05357142857142859
4,78708,2013-08-24 16:00:00,1190.0,0.06875
4,78894,2013-09-01 10:00:00,1182.0,0.24000000000000002
4,79090,2013-09-09 14:00:00,1174.0,-0.07488425925925928
4,80502,2013-11-07 10:00:00,1115.0,0.9299999999999998
4,81295,2013-12-10 11:00:00,1082.0,0.0
4,81374,2013-12-13 18:00:00,1079.0,0.0
4,82137,2014-01-14 13:00:00,1047.0,-0.09374999999999997
