Date & Time,Inactivity,Over past 30 days
2005-07-12 04:00:00,0,0.3
2005-07-13 04:00:00,1,0.3
2005-07-14 04:00:00,0,0.3
2005-07-15 04:00:00,1,0.3
2005-07-16 04:00:00,0,0.3
2005-07-17 04:00:00,1,0.3333333333333333
2005-07-18 04:00:00,2,0.4
2005-07-19 04:00:00,3,0.4666666666666667
2005-07-20 04:00:00,4,0.6
2005-07-21 04:00:00,0,0.5666666666666667
2005-07-22 04:00:00,0,0.5666666666666667
2005-07-23 04:00:00,0,0.5666666666666667
2005-07-24 04:00:00,1,0.6
2005-07-25 04:00:00,0,0.6
2005-07-26 04:00:00,1,0.6333333333333333
2005-07-27 04:00:00,2,0.6666666666666666
2005-07-28 04:00:00,0,0.6666666666666666
2005-07-29 04:00:00,0,0.6666666666666666
2005-07-30 04:00:00,1,0.6666666666666666
2005-07-31 04:00:00,0,0.6451612903225806
2005-08-01 04:00:00,0,0.6451612903225806
2005-08-02 04:00:00,1,0.6774193548387096
2005-08-03 04:00:00,2,0.7419354838709677
2005-08-04 04:00:00,3,0.8387096774193549
2005-08-05 04:00:00,4,0.967741935483871
2005-08-06 04:00:00,5,1.1290322580645162
2005-08-07 04:00:00,6,1.2903225806451613
2005-08-08 04:00:00,7,1.5161290322580645
2005-08-09 04:00:00,0,1.4838709677419355
2005-08-10 04:00:00,1,1.5161290322580645
2005-08-11 04:00:00,0,1.4838709677419355
2005-08-12 04:00:00,0,1.4838709677419355
2005-08-13 04:00:00,0,1.4516129032258065
2005-08-14 04:00:00,1,1.4838709677419355
2005-08-15 04:00:00,2,1.5161290322580645
2005-08-16 04:00:00,3,1.6129032258064515
2005-08-17 04:00:00,4,1.7096774193548387
2005-08-18 04:00:00,0,1.6451612903225807
2005-08-19 04:00:00,0,1.5483870967741935
2005-08-20 04:00:00,0,1.4193548387096775
2005-08-21 04:00:00,0,1.4193548387096775
2005-08-22 04:00:00,0,1.4193548387096775
2005-08-23 04:00:00,0,1.4193548387096775
2005-08-24 04:00:00,0,1.3870967741935485
2005-08-25 04:00:00,1,1.4193548387096775
2005-08-26 04:00:00,0,1.3870967741935485
2005-08-27 04:00:00,1,1.3548387096774193
2005-08-28 04:00:00,0,1.3548387096774193
2005-08-29 04:00:00,1,1.3870967741935485
2005-08-30 04:00:00,2,1.4193548387096775
2005-08-31 04:00:00,3,1.5161290322580645
2005-09-01 04:00:00,4,1.6451612903225807
2005-09-02 04:00:00,5,1.7741935483870968
2005-09-03 04:00:00,6,1.903225806451613
2005-09-04 04:00:00,7,2.032258064516129
2005-09-05 04:00:00,8,2.161290322580645
2005-09-06 04:00:00,0,2.0
2005-09-07 04:00:00,0,1.8064516129032258
2005-09-08 04:00:00,0,1.5806451612903225
2005-09-09 04:00:00,0,1.5806451612903225
2005-09-10 04:00:00,0,1.5483870967741935
2005-09-11 04:00:00,1,1.5806451612903225
